Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
172,5017411,cs,2/5 LB,COD BATTERED PORTION PUB STYLE 2-4 OUNCE,PORTIMP,60.27,,,,,
173,5001957,cs,6/2 LB,LOBSTER MEAT CLAW KNUCKLE BRINE VACUUM PACK,PORTIMP,252.41,,,,,
174,2398428,cs,2/5 LB,SCALLOP INDIVIDUALLY QUICK FROZEN DRY 60-80 COUNT IMPORTED,PORTSIM,59.46,,,,,
175,1887197,cs,12/1 LB,CRAB MEAT JUMBO LUMP PASTURIZED,CHICSEA,356.21,,,,,
176,1887197,ea,1/1 LB,CRAB MEAT JUMBO LUMP PASTURIZED,CHICSEA,31.32,,,,,
177,3912326,cs,12/1 LB,CRAB MEAT SPECIAL PASTURIZED ASIA,CHICSEA,199.88,,,,,
178,3912326,ea,1/1 LB,CRAB MEAT SPECIAL PASTURIZED ASIA,CHICSEA,17.58,,,,,
179,4434235,cs,1/10 LB,TUNA YELLOWFIN SAKU 8-10 OUNCE INDONESIA,EMPRCHC,96.98,,,,,
180,6429534,cs,2/8-10#,TURKEY BREAST OIL BROWN IMPERIAL,BBRLIMP,,3.818,,,,
181,5365405,cs,2/5 LB,CHICKEN TENDERS BREADED,TYSON,33.82,,,,,
182,7792187,cs,4/10 LB,CHICKEN THIGH BONELESS SKINLESS CONTROLLED VACUUM PACKED,SYS CLS,60.29,,,,,
183,239873,cs,2/6-8#,TURKEY BREAST FRENCHED CUT READY-TO-COOK,SYS IMP,,2.86,,,,
184,7203474,cs,4/10 LB,CHICKEN BREAST RANDOM 10 OUNCE & UP CONTROLLED VACUUM PACKED,SYS CLS,43.13,,,,,
185,6344790,cs,4/10 LB,CHICKEN WINGS 1ST & 2ND JOINTS JUMBO CONTROLLED VACUUM PACKED,SYS CLS,86.77,,,,,
186,1857309,cs,2/20-24#,TURKEY TOM GRADE A WHOLE 20-24#,SYS CLS,,1.119,,,,
